順序	緯度	經度	海拔（約）	類型	名稱
1	24.385840	121.298930	2159.41827544446	comm	start
2	24.386156	121.298534	2162.1	gpx	N/A
3	24.385676	121.297938	2176	gpx	N/A
4	24.385916	121.297619	2181.3	gpx	N/A
5	24.385593	121.297482	2186.1	gpx	N/A
6	24.385896	121.297165	2198.4	gpx	N/A
7	24.385334	121.296951	2210.8	gpx	N/A
8	24.385686	121.296615	2221.2	gpx	N/A
9	24.385574	121.296508	2223.4	gpx	N/A
10	24.385026	121.296398	2234.1	gpx	N/A
11	24.385569	121.295953	2246.4	gpx	N/A
12	24.385666	121.295728	2250.6	gpx	N/A
13	24.385285	121.295089	2266.6	gpx	N/A
14	24.385335	121.294680	2266.6	comm	comm
15	24.385446	121.293807	2293.2	gpx	N/A
16	24.385168	121.292769	2312.5	gpx	N/A
17	24.385256	121.292171	2331	gpx	N/A
18	24.385144	121.291769	2341.7	gpx	N/A
19	24.385320	121.291257	2356.3	gpx	N/A
20	24.385330	121.290677	2372.8	gpx	N/A
21	24.385202	121.290347	2379.1	gpx	N/A
22	24.385280	121.289894	2392.8	gpx	N/A
23	24.384850	121.289376	2409.4	gpx	N/A
24	24.384733	121.288861	2422.2	gpx	N/A
25	24.384762	121.288319	2435.1	gpx	N/A
26	24.384953	121.287872	2448.8	gpx	N/A
27	24.384782	121.287654	2455.3	gpx	N/A
28	24.384201	121.287558	2471.8	gpx	N/A
29	24.383922	121.287300	2483.8	gpx	N/A
30	24.383677	121.286523	2500.3	gpx	N/A
31	24.383570	121.286426	2539	gpx	N/A
32	24.383978	121.285999	2539	gpx	N/A
33	24.384201	121.286080	2540.7	gpx	N/A
34	24.384279	121.286413	2542.5	gpx	N/A
35	24.384401	121.286482	2543.5	gpx	N/A
36	24.384508	121.285889	2550.4	gpx	N/A
37	24.384616	121.285782	2552	gpx	N/A
38	24.384674	121.285895	2553.8	gpx	N/A
39	24.385114	121.285423	2566.4	gpx	N/A
40	24.385227	121.285369	2570	gpx	N/A
41	24.385222	121.285718	2579.1	gpx	N/A
42	24.385344	121.285653	2582.3	gpx	N/A
43	24.385373	121.285927	2588	gpx	N/A
44	24.385451	121.285771	2591	gpx	N/A
45	24.385559	121.285836	2594.2	gpx	N/A
46	24.385867	121.285621	2605.3	gpx	N/A
47	24.385994	121.285787	2612.9	gpx	N/A
48	24.386204	121.285329	2628.8	gpx	N/A
49	24.386634	121.285179	2646.5	gpx	N/A
50	24.386761	121.284897	2662.2	gpx	N/A
51	24.386888	121.284932	2667.6	gpx	N/A
52	24.386981	121.284768	2673.7	gpx	N/A
53	24.387249	121.284918	2685.5	gpx	N/A
54	24.387430	121.284811	2696.6	gpx	N/A
55	24.387303	121.284505	2712.8	gpx	N/A
56	24.387516	121.284104	2736.2	gpx	N/A
57	24.388025	121.283714	2768.2	gpx	N/A
58	24.388343	121.283683	2778.9	gpx	N/A
59	24.387806	121.283482	2800.9	gpx	N/A
60	24.387798	121.283353	2809.2	gpx	N/A
61	24.388069	121.283189	2820.6	gpx	N/A
62	24.388216	121.282732	2834.9	gpx	N/A
63	24.388638	121.282166	2853.4	gpx	N/A
64	24.388765	121.281755	2868.2	gpx	N/A
65	24.388622	121.281457	2876.8	gpx	N/A
66	24.389095	121.281452	2896.1	gpx	N/A
67	24.388647	121.280690	2927.8	gpx	N/A
68	24.388920	121.280736	2932.6	gpx	N/A
69	24.388914	121.280596	2934.1	gpx	N/A
70	24.389057	121.280648	2935.4	gpx	N/A
71	24.389030	121.280559	2936.9	gpx	N/A
72	24.389499	121.280312	2944	gpx	N/A
73	24.389562	121.280270	2944	comm	comm
74	24.390819	121.278666	3026.5	gpx	N/A
75	24.390602	121.277418	3060.7	gpx	N/A
76	24.389956	121.276662	3076.7	gpx	N/A
77	24.389819	121.276094	3080.1	gpx	N/A
78	24.389555	121.276013	3081.2	gpx	N/A
79	24.389350	121.275654	3082	gpx	N/A
80	24.389379	121.275305	3082.3	gpx	N/A
81	24.389052	121.274903	3083.6	gpx	N/A
82	24.388857	121.274281	3088.9	gpx	N/A
83	24.388842	121.273487	3101.2	gpx	N/A
84	24.389047	121.273068	3108.2	gpx	N/A
85	24.389007	121.272381	3115.6	gpx	N/A
86	24.388687	121.272073	3137.818526036453	comm	peak
